stringA,stringB,itemNumber,type
agallea,strompa,13,original
ancessa,digiday,39,original
scrunne,menclar,5,original
thramon,shaptur,17,original
tessigg,comorti,1,original
talisti,witypro,38,original
splenne,engally,28,original
pariono,abysted,11,original
amatera,finglam,44,original
octeste,subvick,50,original
persica,larshic,6,original
screnta,prompan,40,original
caltsio,clopect,16,original
edisted,quarban,46,original
memsere,currimi,37,original
retsits,howaymb,48,original
hignoth,mempise,9,original
afrithe,prothly,34,original
forsith,defasom,8,original
mesimie,dakinge,23,original
tueredo,proffin,42,original
ostallo,micaust,22,original
asplati,iningla,7,original
mesterf,expisho,26,original
angessa,dockles,31,original
dispont,smadian,2,original
proffic,nathess,47,original
quingel,opelese,45,original
gremsev,cortsio,24,original
disingu,perecti,33,original
vervide,relysta,19,original
supplic,heashes,49,original
articlu,loarlai,14,original
betwerv,wessish,18,original
wilysta,systess,25,original
rundsop,mesects,35,original
commari,thinatu,30,original
grappor,mestead,43,original
bomysta,chertin,36,original
mervirs,sersimi,21,original
webruic,segessa,41,original
allysti,spanoth,15,original
maricts,bengsta,4,original
numersi,messago,3,original
uranged,crivere,12,original
chanywa,prensta,32,original
throvic,plareed,20,original
locidev,kentsia,27,original
compide,sertsim,29,original
allopti,walthel,10,original
sersimi,digiday,116,new
vervide,smadian,57,new
splenne,chanywa,104,new
prensta,witypro,107,new
defasom,mesimie,72,new
bengsta,grappor,115,new
segessa,betwerv,92,new
shaptur,memsere,87,new
grappor,mesterf,138,new
chertin,menclar,88,new
plareed,iningla,58,new
nathess,shaptur,95,new
opelese,quingel,122,new
webruic,agallea,118,new
chertin,expisho,113,new
thramon,strompa,65,new
opelese,articlu,97,new
pariono,gremsev,70,new
opelese,finglam,142,new
nathess,vervide,137,new
sersimi,clopect,68,new
throvic,segessa,102,new
mesimie,strompa,59,new
howaymb,forsith,134,new
mesterf,commari,109,new
proffic,mesterf,129,new
micaust,octeste,130,new
howaymb,bengsta,121,new
proffin,tessigg,83,new
ancessa,disingu,106,new
howaymb,plareed,140,new
larshic,agallea,76,new
proffin,nathess,128,new
scrunne,iningla,79,new
pariono,mervirs,61,new
quingel,perecti,131,new
thramon,disingu,90,new
chertin,chanywa,101,new
comorti,sertsim,69,new
bomysta,caltsio,110,new
dakinge,cortsio,84,new
afrithe,webruic,127,new
caltsio,currimi,119,new
subvick,mesimie,149,new
strompa,loarlai,75,new
engally,mestead,143,new
allopti,agallea,55,new
webruic,walthel,120,new
relysta,chanywa,89,new
rundsop,chertin,111,new
systess,subvick,147,new
thinatu,prothly,112,new
thramon,prompan,114,new
prensta,dockles,98,new
throvic,tueredo,117,new
splenne,quarban,146,new
allysti,sersimi,67,new
subvick,forsith,126,new
engally,retsits,135,new
subvick,wessish,145,new
nathess,finglam,124,new
engally,ancessa,108,new
mesterf,finglam,141,new
pariono,dispont,73,new
prensta,wilysta,105,new
mempise,ancessa,82,new
hignoth,quarban,94,new
bengsta,commari,81,new
spanoth,allopti,77,new
relysta,howaymb,150,new
dispont,angessa,78,new
maricts,relysta,53,new
pariono,iningla,51,new
ancessa,mervirs,100,new
engally,screnta,103,new
mempise,thramon,71,new
allopti,hignoth,54,new
quarban,bengsta,91,new
comorti,messago,62,new
tueredo,prompan,125,new
ostallo,uranged,80,new
ancessa,witypro,136,new
numersi,octeste,123,new
micaust,memsere,93,new
octeste,proffic,139,new
proffin,retsits,132,new
iningla,splenne,74,new
vervide,walthel,52,new
thinatu,betwerv,85,new
subvick,smadian,148,new
wilysta,persica,66,new
prensta,finglam,144,new
commari,tessigg,56,new
relysta,uranged,64,new
prothly,angessa,99,new
compide,messago,63,new
mestead,subvick,133,new
witypro,cortsio,96,new
cortsio,strompa,60,new
currimi,agallea,86,new
